Name,Artist,Album,Time,Genre,ID
Chinese Democracy,Guns N Roses,Chinese Democracy,2.83,Rock,340
Shacklers Revenge,Guns N Roses,Chinese Democracy,2.16,Rock,341
Better,Guns N Roses,Chinese Democracy,2.98,Rock,342
Street Of Dreams,Guns N Roses,Chinese Democracy,2.86,Rock,343
If The World,Guns N Roses,Chinese Democracy,2.94,Rock,344
There Was A Time,Guns N Roses,Chinese Democracy,4.01,Rock,345
Catcher In The Rye,Guns N Roses,Chinese Democracy,3.53,Rock,346
Scraped,Guns N Roses,Chinese Democracy,2.1,Rock,347
Riad N The Bedouins,Guns N Roses,Chinese Democracy,2.5,Rock,348
Sorry,Guns N Roses,Chinese Democracy,3.74,Rock,349
IRS,Guns N Roses,Chinese Democracy,2.68,Rock,350
Madagascar,Guns N Roses,Chinese Democracy,3.37,Rock,351
This I Love,Guns N Roses,Chinese Democracy,3.34,Rock,352
Fade Away,Oasis,Cigarettes Alcohol EP,2.53,Rock,353
We have arrived QQT Mix,Aphex Twin,Classics,2.68,Ambient,354
Come To Daddy Pappy Mix,Aphex Twin,Come To Daddy,2.6,Electronic,355
Flim,Aphex Twin,Come To Daddy,1.76,Electronic,356
Come To Daddy Little Lord Faulteroy Mix,Aphex Twin,Come To Daddy,2.28,Electronic,357
Bucephalus Bouncing Ball,Aphex Twin,Come To Daddy,3.43,Electronic,358
To Cure A Weakling Child Contour Regard,Aphex Twin,Come To Daddy,3.08,Electronic,359
Funny Little Man,Aphex Twin,Come To Daddy,2.32,Electronic,360
Come To Daddy Mummy Mix,Aphex Twin,Come To Daddy,2.59,Electronic,361
IZUS,Aphex Twin,Come To Daddy,1.76,Electronic,362
Flim,Aphex Twin,Come to Daddy EP,1.77,Other,363
Pacha On Acid Eddies EDIT,Afrojack,Cream IbizaMixedByEddieHalliwell2CD,2.35,Club,364
Strobe,Deadmau5,Cream IbizaMixedByEddieHalliwell2CD,5.76,Club,365
Ouverture,Daft Punk,Daft Club,1.6,Electronic,366
Aerodynamic Daft Punk Remix,Daft Punk,Daft Club,3.71,Electronic,367
